Item Number,Diameter (mm),Thickness (mm),Quality,Min Quantity,Price Each,25 - 49,50 - 99,100 +,Quantity,Price,Cost,Orientation,Thickness Tol,Dimension Tol
EXG76.2-0.3-8050,76.2,0.3,80/50,10,$9.10 ,$8.40 ,$7.80 ,$7.30 ,, , ,Single SEMI Flat,+/- 30um,+/- 0.20mm
EXG76.2-0.3-6040,76.2,0.3,60/40,10,$10.40 ,$9.60 ,$8.90 ,$8.30 ,, , ,Single SEMI Flat,+/- 30um,+/- 0.20mm
EXG76.2-0.3-4020,76.2,0.3,40/20,10,$12.00 ,$11.10 ,$10.30 ,$9.60 ,, , ,Single SEMI Flat,+/- 30um,+/- 0.20mm
EXG76.2-0.3-2010,76.2,0.3,20/10,10,$14.20 ,$13.20 ,$12.20 ,$11.40 ,, , ,Single SEMI Flat,+/- 30um,+/- 0.20mm
EXG76.2-0.5-8050,76.2,0.5,80/50,10,$8.00 ,$7.40 ,$6.90 ,$6.40 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG76.2-0.5-6040,76.2,0.5,60/40,10,$10.20 ,$9.40 ,$8.70 ,$8.20 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG76.2-0.5-4020,76.2,0.5,40/20,10,$11.60 ,$10.70 ,$9.90 ,$9.30 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG76.2-0.5-2010,76.2,0.5,20/10,10,$13.30 ,$12.30 ,$11.40 ,$10.70 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG76.2-0.7-8050,76.2,0.7,80/50,10,$8.00 ,$7.30 ,$6.80 ,$6.40 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG76.2-0.7-6040,76.2,0.7,60/40,10,$9.70 ,$8.90 ,$8.30 ,$7.80 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG76.2-0.7-4020,76.2,0.7,40/20,10,$11.00 ,$10.10 ,$9.40 ,$8.80 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG76.2-0.7-2010,76.2,0.7,20/10,10,$12.70 ,$11.70 ,$10.90 ,$10.10 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG76.2-1.1-8050,76.2,1.1,80/50,10,$8.30 ,$7.70 ,$7.10 ,$6.70 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG76.2-1.1-6040,76.2,1.1,60/40,10,$10.00 ,$9.20 ,$8.50 ,$8.00 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG76.2-1.1-4020,76.2,1.1,40/20,10,$11.30 ,$10.40 ,$9.70 ,$9.00 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG76.2-1.1-2010,76.2,1.1,20/10,10,$13.00 ,$12.00 ,$11.20 ,$10.40 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG100-0.3-8050,100,0.3,80/50,10,$11.90 ,$11.00 ,$10.20 ,$9.60 ,, , ,Single SEMI Flat,+/- 30um,+/- 0.20mm
EXG100-0.3-6040,100,0.3,60/40,10,$13.60 ,$12.60 ,$11.70 ,$10.90 ,, , ,Single SEMI Flat,+/- 30um,+/- 0.20mm
EXG100-0.3-4020,100,0.3,40/20,10,$15.80 ,$14.60 ,$13.60 ,$12.70 ,, , ,Single SEMI Flat,+/- 30um,+/- 0.20mm
EXG100-0.3-2010,100,0.3,20/10,10,$18.80 ,$17.30 ,$16.10 ,$15.00 ,, , ,Single SEMI Flat,+/- 30um,+/- 0.20mm
EXG100-0.5-8050,100,0.5,80/50,10,$9.90 ,$9.10 ,$8.50 ,$7.90 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG100-0.5-6040,100,0.5,60/40,10,$12.30 ,$11.40 ,$10.60 ,$9.90 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG100-0.5-4020,100,0.5,40/20,10,$14.00 ,$12.90 ,$12.00 ,$11.20 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG100-0.5-2010,100,0.5,20/10,10,$16.20 ,$15.00 ,$13.90 ,$13.00 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG100-0.7-8050,100,0.7,80/50,10,$9.50 ,$8.80 ,$8.20 ,$7.60 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG100-0.7-6040,100,0.7,60/40,10,$11.40 ,$10.50 ,$9.80 ,$9.10 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG100-0.7-4020,100,0.7,40/20,10,$13.00 ,$12.00 ,$11.10 ,$10.40 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG100-0.7-2010,100,0.7,20/10,10,$15.00 ,$13.80 ,$12.90 ,$12.00 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG100-1.1-8050,100,1.1,80/50,10,$10.10 ,$9.30 ,$8.60 ,$8.10 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG100-1.1-6040,100,1.1,60/40,10,$11.90 ,$11.00 ,$10.20 ,$9.50 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG100-1.1-4020,100,1.1,40/20,10,$13.50 ,$12.50 ,$11.60 ,$10.80 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG100-1.1-2010,100,1.1,20/10,10,$15.60 ,$14.40 ,$13.40 ,$12.50 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG150-0.3-8050,150,0.3,80/50,10,$20.80 ,$19.20 ,$17.90 ,$16.70 ,, , ,Single SEMI Flat,+/- 30um,+/- 0.20mm
EXG150-0.3-6040,150,0.3,60/40,10,$23.90 ,$22.00 ,$20.50 ,$19.10 ,, , ,Single SEMI Flat,+/- 30um,+/- 0.20mm
EXG150-0.3-4020,150,0.3,40/20,10,$27.80 ,$25.60 ,$23.80 ,$22.20 ,, , ,Single SEMI Flat,+/- 30um,+/- 0.20mm
EXG150-0.3-2010,150,0.3,20/10,10,$33.00 ,$30.50 ,$28.30 ,$26.40 ,, , ,Single SEMI Flat,+/- 30um,+/- 0.20mm
EXG150-0.5-8050,150,0.5,80/50,10,$15.70 ,$14.50 ,$13.40 ,$12.50 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG150-0.5-6040,150,0.5,60/40,10,$19.00 ,$17.50 ,$16.30 ,$15.20 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG150-0.5-4020,150,0.5,40/20,10,$21.60 ,$19.90 ,$18.50 ,$17.30 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG150-0.5-2010,150,0.5,20/10,10,$24.90 ,$23.00 ,$21.40 ,$20.00 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG150-0.7-8050,150,0.7,80/50,10,$16.00 ,$14.80 ,$13.70 ,$12.80 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG150-0.7-6040,150,0.7,60/40,10,$18.60 ,$17.20 ,$15.90 ,$14.90 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG150-0.7-4020,150,0.7,40/20,10,$21.10 ,$19.50 ,$18.10 ,$16.90 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG150-0.7-2010,150,0.7,20/10,10,$24.40 ,$22.50 ,$20.90 ,$19.50 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG150-1.1-8050,150,1.1,80/50,10,$17.00 ,$15.70 ,$14.60 ,$13.60 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG150-1.1-6040,150,1.1,60/40,10,$19.60 ,$18.10 ,$16.80 ,$15.70 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG150-1.1-4020,150,1.1,40/20,10,$22.30 ,$20.60 ,$19.10 ,$17.80 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG150-1.1-2010,150,1.1,20/10,10,$25.80 ,$23.80 ,$22.10 ,$20.70 ,, , ,Single SEMI Flat,+/- 50um,+/- 0.20mm
EXG200-0.3-8050,200,0.3,80/50,10,$34.30 ,$31.60 ,$29.40 ,$27.40 ,, , ,SEMI Notch,+/- 30um,+/- 0.20mm
EXG200-0.3-6040,200,0.3,60/40,10,$39.30 ,$36.30 ,$33.70 ,$31.40 ,, , ,SEMI Notch,+/- 30um,+/- 0.20mm
EXG200-0.3-4020,200,0.3,40/20,10,$45.80 ,$42.30 ,$39.30 ,$36.60 ,, , ,SEMI Notch,+/- 30um,+/- 0.20mm
EXG200-0.3-2010,200,0.3,20/10,10,$54.50 ,$50.30 ,$46.70 ,$43.60 ,, , ,SEMI Notch,+/- 30um,+/- 0.20mm
EXG200-0.5-8050,200,0.5,80/50,10,$23.00 ,$21.20 ,$19.70 ,$18.40 ,, , ,SEMI Notch,+/- 50um,+/- 0.20mm
EXG200-0.5-6040,200,0.5,60/40,10,$26.50 ,$24.40 ,$22.70 ,$21.20 ,, , ,SEMI Notch,+/- 50um,+/- 0.20mm
EXG200-0.5-4020,200,0.5,40/20,10,$30.20 ,$27.80 ,$25.90 ,$24.10 ,, , ,SEMI Notch,+/- 50um,+/- 0.20mm
EXG200-0.5-2010,200,0.5,20/10,10,$35.00 ,$32.30 ,$30.00 ,$28.00 ,, , ,SEMI Notch,+/- 50um,+/- 0.20mm
EXG200-0.7-8050,200,0.7,80/50,10,$25.20 ,$23.20 ,$21.60 ,$20.10 ,, , ,SEMI Notch,+/- 50um,+/- 0.20mm
EXG200-0.7-6040,200,0.7,60/40,10,$27.30 ,$25.20 ,$23.40 ,$21.90 ,, , ,SEMI Notch,+/- 50um,+/- 0.20mm
EXG200-0.7-4020,200,0.7,40/20,10,$31.10 ,$28.80 ,$26.70 ,$24.90 ,, , ,SEMI Notch,+/- 50um,+/- 0.20mm
EXG200-0.7-2010,200,0.7,20/10,10,$36.10 ,$33.30 ,$31.00 ,$28.90 ,, , ,SEMI Notch,+/- 50um,+/- 0.20mm
EXG200-1.1-8050,200,1.1,80/50,10,$26.60 ,$24.50 ,$22.80 ,$21.30 ,, , ,SEMI Notch,+/- 50um,+/- 0.20mm
EXG200-1.1-6040,200,1.1,60/40,10,$29.60 ,$27.30 ,$25.40 ,$23.70 ,, , ,SEMI Notch,+/- 50um,+/- 0.20mm
EXG200-1.1-4020,200,1.1,40/20,10,$33.80 ,$31.20 ,$29.00 ,$27.00 ,, , ,SEMI Notch,+/- 50um,+/- 0.20mm
EXG200-1.1-2010,200,1.1,20/10,10,$39.20 ,$36.20 ,$33.60 ,$31.40 ,, , ,SEMI Notch,+/- 50um,+/- 0.20mm