Item Number,Material,Thickness (mm),Stock Length,Stock Width,Thickness Tol,Dimension Tol,Quality,Min Quantity,Price Each
CGS2001,Eagle XG,0.3,1510,960,+/- .03mm,+/- 1.0mm,1.5K Lux,5,$376.40 
CGS2002,Eagle XG,0.4,1350,1240,+/- .04mm,+/- 1.0mm,1.5K Lux,5,$266.70 
CGS2003,Eagle XG,0.5,1350,1230,+/- .05mm,+/- 1.0mm,1.5K Lux,5,$223.50 
CGS2004,Eagle XG,0.7,1350,1150,+/- .07mm,+/- 1.0mm,1.5K Lux,5,$200.00 
CGS2005,Eagle XG,1.1,1340,1550,+/- .10mm,+/- 1.0mm,1.5K Lux,5,$323.90 
CGS2006,Borofloat,0.7,850.9,1123.95,+/- .07mm,+/- 1.0mm,80/50,5,$187.50 
CGS2007,Borofloat,1.1,850.9,1123.95,+/- .10mm,+/- 1.0mm,80/50,5,$167.30 
CGS2008,Borofloat,1.75,850.9,1123.95,+/- .20mm,+/- 1.0mm,80/50,5,$100.00 
CGS2009,Borofloat,2,850.9,1123.95,+/- .20mm,+/- 1.0mm,80/50,5,$95.40 
CGS2010,Borofloat,2.25,850.9,1123.95,+/- .20mm,+/- 1.0mm,80/50,5,$93.80 
CGS2011,Borofloat,2.75,850.9,1123.95,+/- .20mm,+/- 1.0mm,80/50,5,$93.80 
CGS2012,Borofloat,3.3,850.9,1123.95,+/- .20mm,+/- 1.0mm,80/50,5,$101.70 
CGS2013,D263,0.1,440,360,+/- .01mm,+/- 1.0mm,80/50,5,$21.50 
CGS2014,D263,0.2,440,360,+/- .02mm,+/- 1.0mm,80/50,5,$23.80 
CGS2015,D263,0.3,440,360,+/- .03mm,+/- 1.0mm,80/50,5,$30.80 
CGS2016,D263,0.5,440,360,+/- .05mm,+/- 1.0mm,80/50,5,$32.50 
CGS2017,D263,0.7,440,360,+/- .07mm,+/- 1.0mm,80/50,5,$50.00 
CGS2018,D263,1.1,440,360,+/- .10mm,+/- 1.0mm,80/50,5,$77.50 
CGS2019,Willow ,0.1,500,500,+/- .01mm,+/- 0.50mm,80/50,5,$38.50 
CGS2020,Willow,0.1,1000,1000,+/- .01mm,+/- 0.50mm,80/50,5,$153.90 
CGS2021,Willow,0.2,500,500,+/- .02mm,+/- 0.50mm,80/50,5,$32.20 
CGS2022,Willow,0.2,1000,1000,+/- .02mm,+/- 0.50mm,80/50,5,$128.20 